Year,Marks,Model,Body Type,Mileage,Engine Size,Transmission,Fuel Type,Price($),City, Car Type
2015,Mitsubishi,Triton,Ute,"133,180",2.5L,Sports Automatic,Diesel,19512,Western Australia,Used
2023,Hyundai,IONIQ 6,Sedan,"3,069",N/A,Reduction Gear,Electric,69990,New South Wales,Demo
2024,Isuzu,D-MAX,Ute,"1,288",3.0L,Sports Automatic,Diesel,65888,New South Wales,Demo
2022,BMW,3 Series,Sedan,"54,700",2.0L,Sports Automatic,Petrol,47900,Victoria,Used
2020,Toyota,Yaris,Hatchback,"71,270",1.3L,Automatic,Petrol,19990,Victoria,Used
2024,Mercedes-Benz,EQE,Sedan,N/A,N/A,Reduction Gear,Electric,213600,N/A,Available to order
2016,Toyota,Camry,Sedan,"134,859",2.5L,Sports Automatic,Petrol,18530,New South Wales,Used
2020,Jeep,Wrangler,SUV,"61,107",2.2L,Automatic,Diesel,67990,Queensland,Used
2023,Suzuki,Ignis,SUV,"4,960",1.2L,Manual,Petrol,19990,Victoria,Used
2022,Tesla,Model 3,Sedan,"12,378",N/A,Reduction Gear,Electric,48800,New South Wales,Used
2018,Mercedes-Benz,A-Class,Sedan,"74,713",1.3L,Sports Automatic Dual Clutch,Petrol,34990,Victoria,Used
2024,MG,ZS EV,SUV,N/A,N/A,Reduction Gear,Electric,46990,N/A,Available to order
2019,Mercedes-Benz,A-Class,Hatchback,"89,811",2.0L,Sports Automatic Dual Clutch,Petrol,32490,Queensland,Used
2018,Toyota,Corolla,Hatchback,"62,485",1.8L,Constantly Variable Transmission,Hybrid,22990,Queensland,Used
2014,Mercedes-Benz,B-Class,Hatchback,"35,472",1.6L,Sports Automatic Dual Clutch,Petrol,19490,Queensland,Used
2024,Mazda,6,Sedan,199,2.5L,Sports Automatic,Petrol,35800,New South Wales,Demo
2023,Toyota,Landcruiser,N/A,"16,417",4.5L,Manual,Diesel,90990,Queensland,Used
2023,Porsche,Panamera,Sedan,N/A,2.9L,Sports Automatic Dual Clutch,Petrol,205500,N/A,Available to order
