Year,Marks,Model,Body Type,Mileage,Engine Size,Transmission,Fuel Type,Price($),City, Car Type
2018,Ford,Ranger,Ute,"115,730",3.2L,Sports Automatic,Diesel,36980,Queensland,Used
2024,SsangYong,Musso,Ute,12,2.2L,Sports Automatic,Diesel,45200,Victoria,New
2024,Ford,Ranger,Ute,50,2.0L,Sports Automatic,Diesel,69788,Victoria,Used
2022,Suzuki,Jimny,SUV,"19,171",1.5L,Manual,Petrol,32090,N/A,Used
2019,Volvo,XC60,SUV,"80,980",2.0L,Sports Automatic,Diesel,43990,Victoria,Used
2025,Volkswagen,Crafter,Van,N/A,2.0L,Automatic,Diesel,76790,N/A,Available to order
2019,Toyota,Landcruiser Prado,SUV,"119,000",2.8L,Sports Automatic,Diesel,58170,South Australia,Used
2021,Mercedes-Benz,GLE-Class,SUV,"19,959",3.0L,Sports Automatic,Petrol,105895,Queensland,Used
2020,Ford,Ranger,Ute,"58,352",2.2L,Sports Automatic,Diesel,31920,Tasmania,Used
2019,Mercedes-Benz,A-Class,Hatchback,"24,562",2.0L,Sports Automatic Dual Clutch,Petrol,42999,Western Australia,Used
2013,Toyota,Landcruiser Prado,SUV,"139,073",3.0L,Sports Automatic,Diesel,40160,New South Wales,Used
2025,Volkswagen,Touareg,SUV,N/A,3.0L,Sports Automatic,Diesel,113490,N/A,Available to order
2018,Ford,Ranger,N/A,"111,969",2.2L,Sports Automatic,Diesel,32980,Queensland,Used
2020,Ford,Everest,SUV,"61,485",2.0L,Sports Automatic,Diesel,49874,Queensland,Used
2019,BMW,8 Series,Coupe,"32,174",3.0L,Sports Automatic,Petrol,109340,N/A,Used
2022,Subaru,Forester,SUV,"50,500",2.5L,Constantly Variable Transmission,Petrol,41990,Western Australia,Used
2021,Ford,Ranger,N/A,"137,618",3.2L,Sports Automatic,Diesel,31610,Victoria,Used
2025,Volkswagen,Polo,Hatchback,N/A,1.0L,Sports Automatic Dual Clutch,Petrol,30790,N/A,Available to order
2024,MG,ZST,SUV,10,1.3L,Automatic,Petrol,29990,Western Australia,New
2024,Renault,Arkana,SUV,36,1.3L,Sports Automatic Dual Clutch,Petrol,50067,New South Wales,New
2024,Volkswagen,Amarok,Ute,9,3.0L,Automatic,Diesel,82990,Victoria,New
2024,LDV,T60,Ute,150,2.0L,Sports Automatic,Diesel,46923,Tasmania,Used
2024,INEOS,Grenadier,Wagon,10,3.0L,Automatic,Diesel,117950,Victoria,New
2025,Volkswagen,Touareg,SUV,N/A,3.0L,Sports Automatic,Diesel,103490,N/A,Available to order
2024,Ford,Transit Custom,Van,50,2.0L,Automatic,Diesel,61924,Victoria,New
2024,BMW,i4,Hatchback,"7,500",N/A,Reduction Gear,Electric,77990,New South Wales,Used
2023,Hyundai,Kona,SUV,"16,700",2.0L,Constantly Variable Transmission,Petrol,33650,Queensland,Used
2023,Ford,Ranger,Ute,"12,246",2.0L,Sports Automatic,Diesel,59395,N/A,Used
2021,Toyota,Landcruiser Prado,SUV,"63,739",2.8L,Sports Automatic,Diesel,58477,Western Australia,Used
2025,Volkswagen,Touareg,SUV,N/A,3.0L,Sports Automatic,Diesel,113490,N/A,Available to order
2019,BMW,3 Series,Sedan,"39,469",2.0L,Sports Automatic,Petrol,47715,Australian Capital Territory,Used
2018,Ford,Ranger,Ute,"115,730",3.2L,Sports Automatic,Diesel,36980,Queensland,Used
2025,GWM,Haval Jolion,SUV,18,1.5L,Sports Automatic Dual Clutch,Petrol,33485,New South Wales,New
2016,Ford,Ranger,N/A,"102,078",3.2L,Manual,Diesel,27990,Queensland,Used
2021,Land,Rover Discovery Sport,SUV,"53,612",2.0L,Sports Automatic,Petrol,48704,Western Australia,Used
2025,Volkswagen,Touareg,SUV,N/A,3.0L,Sports Automatic,Hybrid,133490,N/A,Available to order
2024,GWM,Ute,Ute,12,2.0L,Sports Automatic,Diesel,36990,Queensland,New
2024,Mazda,BT-50,Ute,"1,221",3.0L,Sports Automatic,Diesel,55990,New South Wales,Demo
2024,Mazda,CX-5,SUV,"16,464",2.5L,Sports Automatic,Petrol,43888,Western Australia,Used
2016,Ford,Mustang,N/A,"12,533",5.0L,Sports Automatic,Petrol,54668,Victoria,Used
2020,Toyota,Landcruiser,SUV,"18,491",4.5L,Manual,Diesel,120000,Queensland,Used
2025,Volkswagen,Polo,Hatchback,N/A,1.0L,Sports Automatic Dual Clutch,Petrol,30790,N/A,Available to order
2024,Nissan,X-TRAIL,SUV,"13,297",2.5L,Constantly Variable Transmission,Petrol,35888,Queensland,Used
2019,BMW,8 Series,Coupe,"32,174",3.0L,Sports Automatic,Petrol,109340,N/A,Used
2016,Audi,S3,Sedan,"82,333",2.0L,Sports Automatic Dual Clutch,Petrol,31043,Victoria,Used
2015,Mazda,CX-5,SUV,"121,060",2.2L,Sports Automatic,Diesel,19999,Victoria,Used
2021,Toyota,Kluger,SUV,"29,444",3.5L,Sports Automatic,Petrol,61888,Victoria,Used
2025,Volkswagen,Crafter,Van,N/A,2.0L,Automatic,Diesel,73290,N/A,Available to order
2024,Kia,Picanto,Hatchback,"1,590",1.3L,Automatic,Petrol,21990,Victoria,Demo
2024,GWM,Tank 500,SUV,5,2.0L,Sports Automatic,Hybrid,74585,Western Australia,New
2019,Toyota,Camry,Sedan,"28,961",2.5L,Constantly Variable Transmission,Hybrid,29190,N/A,Used
2022,Mitsubishi,Outlander,SUV,"45,882",2.5L,Constantly Variable Transmission,Petrol,44488,Western Australia,Used
2020,Volvo,XC60,SUV,"48,833",2.0L,Sports Automatic,Diesel,44488,Western Australia,Used
2025,Volkswagen,Crafter,Van,N/A,2.0L,Automatic,Diesel,77790,N/A,Available to order
2024,Nissan,X-TRAIL,SUV,5,2.5L,Constantly Variable Transmission,Petrol,50990,Victoria,New
2023,Nissan,QASHQAI,SUV,"2,000",1.3L,Constantly Variable Transmission,Petrol,39888,Western Australia,Demo
2024,GWM,Ute,Ute,15,2.0L,Sports Automatic,Diesel,43490,Western Australia,New
2022,Hyundai,Tucson,SUV,"10,274",2.0L,Automatic,Petrol,36750,Western Australia,Demo
2024,Nissan,X-TRAIL,SUV,980,1.5L,Automatic,Hybrid,54890,Australian Capital Territory,New
2025,Mazda,CX-60,SUV,N/A,3.3L,Sports Automatic Single Clutch,Petrol,68800,N/A,Available to order
2024,Nissan,X-TRAIL,SUV,980,1.5L,Automatic,Hybrid,54890,Australian Capital Territory,New
2024,LDV,T60,Ute,5,2.0L,Sports Automatic,Diesel,45990,Western Australia,New
2024,Kia,Sorento,SUV,"2,021",2.2L,Sports Automatic Dual Clutch,Diesel,51888,Western Australia,Demo
2020,Hyundai,iLoad,Van,"85,102",2.5L,Automatic,Diesel,31988,Victoria,Used
2023,Hyundai,Kona,SUV,"16,700",2.0L,Constantly Variable Transmission,Petrol,33650,Queensland,Used
2025,Mazda,CX-60,SUV,N/A,2.5L,Sports Automatic Single Clutch,Hybrid,73850,N/A,Available to order
2024,Nissan,Patrol,SUV,5,5.6L,Sports Automatic,Petrol,99990,New South Wales,Demo
2021,Toyota,Landcruiser Prado,SUV,"108,603",2.8L,Sports Automatic,Diesel,58750,Tasmania,Used
2024,GWM,Cannon Alpha,Ute,"1,352",2.4L,Sports Automatic,Diesel,51990,Queensland,Used
2024,GWM,Haval Jolion,SUV,"2,000",1.5L,Constantly Variable Transmission,Hybrid,30990,Queensland,Demo
2018,BMW,4 Series,Hatchback,"23,343",2.0L,Sports Automatic,Petrol,43990,Victoria,Used
2025,Mazda,CX-60,SUV,N/A,3.3L,Sports Automatic Single Clutch,Petrol,60800,N/A,Available to order
2023,Nissan,X-TRAIL,SUV,"15,601",2.5L,Constantly Variable Transmission,Petrol,46247,Australian Capital Territory,Used
2021,Jeep,Gladiator,Ute,"51,548",3.6L,Automatic,Petrol,59488,Western Australia,Used
2025,LDV,Deliver 7,Van,10,2.0L,Automatic,Diesel,43990,Western Australia,New
2024,Volkswagen,Amarok,Ute,13,3.0L,Automatic,Diesel,88618,Western Australia,New
2020,Toyota,Hilux,N/A,"79,008",2.8L,Sports Automatic,Diesel,46990,Queensland,Used
2025,Honda,CR-V,SUV,N/A,2.0L,Constantly Variable Transmission,Hybrid,59900,N/A,Available to order
2022,Lexus,NX,SUV,"42,289",2.5L,Sports Automatic,Petrol,56800,New South Wales,Used
2017,Ford,Ranger,Ute,"34,676",3.2L,Sports Automatic,Diesel,41190,New South Wales,Used
2023,Ford,Mustang Mach-E,SUV,"3,850",N/A,Reduction Gear,Electric,71673,South Australia,Used
2023,Ford,Ranger,Ute,"61,138",2.0L,Sports Automatic,Diesel,59888,Queensland,Used
2015,Toyota,Hilux,Ute,"159,370",2.8L,Manual,Diesel,27800,Tasmania,Used
2025,Honda,ZR-V,SUV,N/A,1.5L,Constantly Variable Transmission,Petrol,43400,N/A,Available to order
2023,Land,Rover Discovery Sport,SUV,"11,182",2.0L,Sports Automatic,Petrol,75850,South Australia,Used
2019,Kia,Cerato,Hatchback,"52,412",1.6L,Sports Automatic Dual Clutch,Petrol,27800,Australian Capital Territory,Used
2012,Holden,Special Vehicles Clubsport,Sedan,"93,588",6.2L,Sports Automatic,Petrol,59688,Western Australia,Used
2024,Ford,Ranger,Ute,"18,410",2.0L,Sports Automatic,Diesel,61888,Victoria,Used
2023,Ford,Ranger,Ute,"44,000",3.0L,Sports Automatic,Diesel,66702,Western Australia,Used
2025,Honda,ZR-V,SUV,N/A,1.5L,Constantly Variable Transmission,Petrol,37900,N/A,Available to order
2016,Volkswagen,Polo,Hatchback,"44,367",1.2L,Sports Automatic Dual Clutch,Petrol,15190,N/A,Used
2024,Volkswagen,Tiguan,SUV,9,2.0L,Sports Automatic Dual Clutch,Petrol,66303,Western Australia,New
2025,GWM,Cannon,Ute,22,2.4L,Sports Automatic,Diesel,41490,Queensland,New
2024,Volkswagen,Amarok,Ute,10,3.0L,Automatic,Diesel,73990,Victoria,New
2025,GWM,Cannon,Ute,22,2.4L,Sports Automatic,Diesel,41490,Queensland,New
2025,Honda,CR-V,SUV,N/A,2.0L,Constantly Variable Transmission,Hybrid,59900,N/A,Available to order
2024,Mazda,CX-70,SUV,3,3.3L,Sports Automatic,Petrol,81990,New South Wales,Demo
2025,GWM,Cannon,Ute,22,2.4L,Sports Automatic,Diesel,41490,Queensland,New
2024,LDV,G10,Van,13,2.0L,Sports Automatic,Diesel,37060,Western Australia,New
2025,GWM,Cannon,Ute,22,2.4L,Sports Automatic,Diesel,41490,Queensland,New
2015,Nissan,Navara,Ute,"97,123",2.3L,Manual,Diesel,29490,Queensland,Used
2025,Honda,ZR-V,SUV,N/A,1.5L,Constantly Variable Transmission,Petrol,37900,N/A,Available to order
2023,Ford,Ranger,Ute,"43,376",3.0L,Sports Automatic,Diesel,67450,Victoria,Used
2021,Ford,Ranger,N/A,"56,883",3.2L,Sports Automatic,Diesel,39330,Tasmania,Used
2024,GWM,Haval Jolion,SUV,15,1.5L,Sports Automatic Dual Clutch,Petrol,33485,Western Australia,New
2022,Toyota,Landcruiser Prado,SUV,"72,323",2.8L,Sports Automatic,Diesel,66290,New South Wales,Used
2014,Toyota,Landcruiser Prado,SUV,"246,360",3.0L,Sports Automatic,Diesel,30890,Queensland,Used
2025,Honda,ZR-V,SUV,N/A,1.5L,Constantly Variable Transmission,Petrol,43400,N/A,Available to order
2022,Volkswagen,Tiguan,SUV,"14,506",2.0L,Sports Automatic Dual Clutch,Petrol,34190,N/A,Used
2019,Toyota,Landcruiser Prado,SUV,"182,484",2.8L,Sports Automatic,Diesel,43670,Tasmania,Used
2023,Mazda,CX-60,SUV,"10,455",3.3L,Sports Automatic Single Clutch,Diesel,59990,Victoria,Used
2024,MG,MG4,Hatchback,10,N/A,Reduction Gear,Electric,35490,Western Australia,New
2024,LDV,D90,SUV,"10,055",2.0L,Sports Automatic,Diesel,40390,Victoria,Used
2025,GWM,Cannon,Ute,N/A,2.4L,Sports Automatic,Diesel,47990,N/A,Available to order
2024,GWM,Tank 500,SUV,"5,151",2.0L,Sports Automatic,Hybrid,65488,Western Australia,Used
2024,Volkswagen,Tiguan,SUV,"1,616",2.0L,Sports Automatic Dual Clutch,Petrol,68150,Western Australia,Demo
2021,Mercedes-Benz,C-Class,Coupe,"67,460",2.0L,Sports Automatic,Petrol,50670,South Australia,Used
2021,Mazda,CX-5,SUV,"37,956",2.2L,Sports Automatic,Diesel,38100,N/A,Used
2019,Ford,Ranger,Ute,"50,191",3.2L,Sports Automatic,Diesel,39130,New South Wales,Used
2025,GWM,Cannon,Ute,N/A,2.4L,Sports Automatic,Diesel,38990,N/A,Available to order
2021,Jaguar,F-PACE,SUV,"64,868",2.0L,Sports Automatic,Petrol,67140,Australian Capital Territory,Used
2021,Hyundai,Tucson,SUV,"67,662",1.6L,Sports Automatic Dual Clutch,Petrol,37904,Australian Capital Territory,Used
2024,Ford,Ranger,Ute,"18,410",2.0L,Sports Automatic,Diesel,61888,Victoria,Used
2022,Mitsubishi,ASX,SUV,"38,977",2.0L,Constantly Variable Transmission,Petrol,25488,Western Australia,Used
2025,GWM,Cannon,Ute,22,2.4L,Sports Automatic,Diesel,41490,Queensland,New
2025,GWM,Cannon,Ute,N/A,2.4L,Sports Automatic,Diesel,41990,N/A,Available to order
2025,LDV,Deliver 7,Van,21,2.0L,Automatic,Diesel,43990,Western Australia,New
2018,Mercedes-Benz,GLA-Class,SUV,"85,095",2.0L,Sports Automatic Dual Clutch,Petrol,39990,Australian Capital Territory,Used
2023,Isuzu,MU-X,SUV,"5,132",3.0L,Sports Automatic,Diesel,61990,Western Australia,Demo
2023,Hyundai,Tucson,SUV,"6,500",2.0L,Sports Automatic,Diesel,47990,Western Australia,Demo
2023,Jeep,Grand Cherokee,SUV,"1,011",3.6L,Sports Automatic,Petrol,74990,Queensland,Demo
2025,Honda,CR-V,SUV,N/A,1.5L,Constantly Variable Transmission,Petrol,57500,N/A,Available to order
2024,MG,MG4,Hatchback,10,N/A,Reduction Gear,Electric,39690,Western Australia,New
2024,LDV,T60,Ute,10,2.0L,Sports Automatic,Diesel,48490,Western Australia,Demo
2024,GWM,Ute,Ute,"1,000",2.0L,Sports Automatic,Diesel,45990,Queensland,Demo
2023,Chery,OMODA 5,SUV,"6,844",1.5L,Constantly Variable Transmission,Petrol,27990,Victoria,Demo
2015,Nissan,Navara,Ute,"97,123",2.3L,Manual,Diesel,29490,Queensland,Used
2025,Honda,CR-V,SUV,N/A,1.5L,Constantly Variable Transmission,Petrol,51800,N/A,Available to order
2023,Volvo,XC60,SUV,"9,448",2.0L,Sports Automatic,Petrol,68990,Queensland,Used
2018,Ford,Ranger,Ute,"94,546",3.2L,Sports Automatic,Diesel,36040,Australian Capital Territory,Used
2024,MG,MG4,Hatchback,10,N/A,Reduction Gear,Electric,35490,Western Australia,New
2024,Toyota,Landcruiser Prado,SUV,280,2.8L,Sports Automatic,Diesel,81488,Western Australia,Used
2024,Isuzu,MU-X,SUV,"1,560",3.0L,Sports Automatic,Diesel,73800,Victoria,Demo
2025,smart,#3,Wagon,N/A,N/A,Automatic,Electric,70900,N/A,Available to order
2015,Holden,Commodore,Sedan,"50,260",6.0L,Sports Automatic,Petrol,55967,Western Australia,Used
2015,Holden,Commodore,Sedan,"50,260",6.0L,Sports Automatic,Petrol,52548,Western Australia,Used
2015,Holden,Commodore,Sedan,"50,260",6.0L,Sports Automatic,Petrol,52548,Western Australia,Used
2016,Holden,Special Vehicles GTS,Sedan,"76,000",6.2L,Sports Automatic,Petrol,105888,Western Australia,Used
2019,Holden,Acadia,SUV,"101,008",3.6L,Sports Automatic,Petrol,25544,Australian Capital Territory,Used
2025,SKODA,Octavia,Wagon,N/A,2.0L,Sports Automatic Dual Clutch,Petrol,59990,N/A,Available to order
2015,Hyundai,Veloster,Hatchback,"56,563",1.6L,Sports Automatic Dual Clutch,Petrol,20590,Australian Capital Territory,Used
2025,LDV,Deliver 7,Van,20,2.0L,Automatic,Diesel,43990,Western Australia,New
2019,Mitsubishi,Pajero,SUV,"104,851",3.2L,Sports Automatic,Diesel,41980,Queensland,Used
2024,Kia,Sorento,SUV,12,3.5L,Sports Automatic,Petrol,59990,Western Australia,New
2024,GWM,Cannon,Ute,"1,000",2.4L,Sports Automatic,Diesel,43490,Queensland,Demo
2025,SKODA,Octavia,Sedan,N/A,2.0L,Sports Automatic Dual Clutch,Petrol,58490,N/A,Available to order
2020,Mitsubishi,Pajero Sport,SUV,"64,880",2.4L,Sports Automatic,Diesel,38990,Queensland,Used
2023,Mitsubishi,Eclipse Cross,SUV,"10,029",1.5L,Constantly Variable Transmission,Petrol,35950,Victoria,Used
2017,Mitsubishi,Outlander,SUV,"94,309",2.4L,Constantly Variable Transmission,Petrol,23612,Western Australia,Used
2020,Porsche,Macan,SUV,"93,831",3.0L,Sports Automatic Dual Clutch,Petrol,68800,New South Wales,Used
2024,Ford,Everest,SUV,"7,791",2.0L,Sports Automatic,Diesel,65198,Victoria,Used
2025,Chery,Tiggo 7 Pro,SUV,N/A,1.6L,Sports Automatic Dual Clutch,Petrol,27990,N/A,Available to order
2018,Holden,Commodore,Wagon,"75,500",2.0L,Sports Automatic,Petrol,17999,Western Australia,Used
2024,Volkswagen,T-Roc,SUV,"7,400",1.4L,Sports Automatic,Petrol,38673,Western Australia,Demo
2024,Ford,Ranger,Ute,"11,719",2.0L,Sports Automatic,Diesel,62330,Victoria,Used
2024,Mitsubishi,Outlander,SUV,"10,544",2.5L,Constantly Variable Transmission,Petrol,38260,Tasmania,Used
2024,GWM,Haval H6,SUV,15,2.0L,Sports Automatic Dual Clutch,Petrol,30990,Western Australia,Demo
2025,SKODA,Octavia,Sedan,N/A,2.0L,Sports Automatic Dual Clutch,Petrol,58490,N/A,Available to order
2022,Volkswagen,Amarok,Ute,"55,488",3.0L,Automatic,Diesel,48999,Western Australia,Used
2023,Hyundai,i20,Hatchback,"8,736",1.6L,Manual,Petrol,36040,N/A,Used
2024,Volkswagen,Golf,Hatchback,28,1.4L,Sports Automatic,Petrol,49410,South Australia,Demo
2024,Renault,Arkana,SUV,7,1.3L,Sports Automatic Dual Clutch,Petrol,50540,Victoria,New
2020,Ford,Ranger,N/A,"75,209",2.2L,Sports Automatic,Diesel,31980,Queensland,Used
2025,SKODA,Octavia,Wagon,N/A,2.0L,Sports Automatic Dual Clutch,Petrol,59990,N/A,Available to order
2020,Ford,Ranger,N/A,"75,209",2.2L,Sports Automatic,Diesel,31980,Queensland,Used
2024,Mazda,CX-80,SUV,3,3.3L,Sports Automatic,Diesel,74000,New South Wales,Demo
1995,Porsche,911,Convertible,"50,197",3.6L,Sports Automatic,Petrol,179990,Victoria,Used
2020,Toyota,Landcruiser Prado,SUV,"51,138",2.8L,Sports Automatic,Diesel,57990,Victoria,Used
2023,Toyota,Yaris,Hatchback,"2,048",1.6L,Manual,Petrol,56840,New South Wales,Used
2025,Honda,CR-V,SUV,N/A,1.5L,Constantly Variable Transmission,Petrol,41900,N/A,Available to order
2024,Ford,Everest,SUV,"2,235",2.0L,Sports Automatic,Diesel,58990,New South Wales,Used
2020,Ford,Ranger,Ute,"95,860",2.0L,Sports Automatic,Diesel,49990,Queensland,Used
2024,Hyundai,Tucson,SUV,"20,190",2.0L,Automatic,Petrol,33950,Western Australia,Used
2025,LDV,D90,SUV,25,2.0L,Sports Automatic,Petrol,41490,Western Australia,New
2015,Hyundai,Veloster,Hatchback,"56,563",1.6L,Sports Automatic Dual Clutch,Petrol,20590,Australian Capital Territory,Used
2025,Honda,CR-V,SUV,N/A,1.5L,Constantly Variable Transmission,Petrol,47300,N/A,Available to order
2024,Audi,Q4 e-tron,SUV,"4,100",N/A,Reduction Gear,Electric,109300,Victoria,Demo
2024,Hyundai,Tucson,SUV,"6,018",2.0L,Automatic,Petrol,36950,Western Australia,Used
2025,Suzuki,Vitara,SUV,14,1.4L,Sports Automatic,Petrol,32390,Victoria,New
2017,Holden,Trax,SUV,"53,334",1.4L,Automatic,Petrol,15990,Western Australia,Used
2021,Volkswagen,Amarok,Ute,"45,822",3.0L,Automatic,Diesel,50445,Australian Capital Territory,Used
2025,Honda,CR-V,SUV,N/A,1.5L,Constantly Variable Transmission,Petrol,49300,N/A,Available to order
2023,BMW,M2,Coupe,"4,100",3.0L,Manual,Petrol,99990,Western Australia,Used
2015,Hyundai,Tucson,SUV,"61,143",2.0L,Sports Automatic,Petrol,20990,Queensland,Used
2024,Hyundai,Venue,SUV,"12,357",1.6L,Automatic,Petrol,28886,Western Australia,Used
2023,Hyundai,Kona,SUV,"14,000",2.0L,Constantly Variable Transmission,Petrol,29322,Western Australia,Used
2022,Mitsubishi,ASX,SUV,"44,611",2.0L,Constantly Variable Transmission,Petrol,26376,Western Australia,Used
2025,GWM,Haval H6GT,SUV,N/A,1.5L,Automatic,Hybrid,53990,N/A,Available to order
2020,BMW,3 Series,Sedan,"56,165",2.0L,Sports Automatic,Petrol,48345,Australian Capital Territory,Used
2024,Kia,EV9,SUV,10,N/A,Reduction Gear,Electric,135000,Victoria,New
2024,Hyundai,i30,Sedan,12,2.0L,Constantly Variable Transmission,Petrol,38950,Western Australia,Demo
2024,RAM,1500,Ute,76,5.7L,Automatic,Petrol,138900,Tasmania,New
2022,Honda,CR-V,SUV,"16,051",1.5L,Constantly Variable Transmission,Petrol,34990,Victoria,Used
2025,GWM,Cannon,Ute,N/A,2.4L,Sports Automatic,Diesel,38990,N/A,Available to order
2023,Ford,Ranger,Ute,"28,766",3.0L,Sports Automatic,Diesel,69450,Victoria,Used
2024,JAC,T9,Ute,10,2.0L,Automatic,Diesel,46910,Western Australia,New
2017,Ford,Ranger,Ute,"189,499",2.2L,Sports Automatic,Diesel,16999,Victoria,Used
2020,Toyota,Hilux,N/A,"97,784",2.7L,Manual,Petrol,23125,Australian Capital Territory,Used
2024,Nissan,X-TRAIL,SUV,"9,270",2.5L,Constantly Variable Transmission,Petrol,39888,Western Australia,Used
2025,Mazda,CX-30,SUV,N/A,2.0L,Sports Automatic,Petrol,44960,N/A,Available to order
2017,Ford,Everest,SUV,"144,152",3.2L,Sports Automatic,Diesel,29990,Western Australia,Used
2015,Land,Rover Range Rover,SUV,"58,205",4.4L,Sports Automatic,Diesel,79800,New South Wales,Used
2021,Toyota,Landcruiser Prado,SUV,"82,108",2.8L,Sports Automatic,Diesel,63980,Queensland,Used
2019,Toyota,Hilux,Ute,"68,413",2.8L,Sports Automatic,Diesel,59990,Queensland,Used
2024,Volvo,XC40,SUV,"1,058",2.0L,Sports Automatic,Petrol,64990,Queensland,Demo
2025,Mazda,CX-30,SUV,N/A,2.5L,Sports Automatic,Petrol,46460,N/A,Available to order
2019,Kia,Sportage,SUV,"85,339",2.4L,Sports Automatic,Petrol,29767,Australian Capital Territory,Used
2024,Mitsubishi,Eclipse Cross,SUV,2,1.5L,Constantly Variable Transmission,Petrol,39900,Queensland,New
2024,GWM,Haval H6GT,SUV,"1,001",2.0L,Sports Automatic Dual Clutch,Petrol,44990,Queensland,Demo
2019,Toyota,Hilux,Ute,"78,461",2.8L,Sports Automatic,Diesel,61990,Queensland,Used
2024,Mazda,BT-50,Ute,N/A,3.0L,Sports Automatic,Diesel,58505,New South Wales,New
2025,Mazda,CX-30,SUV,N/A,2.0L,Sports Automatic,Petrol,39760,N/A,Available to order
2020,Mazda,BT-50,Ute,"23,803",3.0L,Sports Automatic,Diesel,46340,N/A,Used
2017,Hyundai,Tucson,SUV,"115,011",2.0L,Sports Automatic,Petrol,17476,Western Australia,Used
2020,Toyota,Landcruiser,SUV,"18,491",4.5L,Manual,Diesel,120000,Queensland,Used
2023,Volvo,XC90,SUV,"7,962",2.0L,Sports Automatic,Petrol,91290,Australian Capital Territory,Used
2019,BMW,3 Series,Sedan,"35,922",2.0L,Sports Automatic,Petrol,44084,New South Wales,Used
2025,Mazda,CX-30,SUV,N/A,2.5L,Sports Automatic,Petrol,43260,N/A,Available to order
2022,SKODA,Scala,Hatchback,"22,068",1.0L,Sports Automatic Dual Clutch,Petrol,25990,Victoria,Used
2024,Ford,Ranger,Ute,482,2.0L,Sports Automatic,Diesel,71690,South Australia,Used
2022,Kia,Carnival,N/A,"76,966",2.2L,Sports Automatic,Diesel,46950,Victoria,Used
2020,Nissan,QASHQAI,SUV,"45,584",2.0L,Constantly Variable Transmission,Petrol,26888,Queensland,Used
2021,Kia,Sportage,SUV,"47,482",2.0L,Sports Automatic,Diesel,34577,Western Australia,Used
2025,Mazda,CX-30,SUV,N/A,2.0L,Sports Automatic,Petrol,34060,N/A,Available to order
2024,Volkswagen,Amarok,Ute,N/A,2.0L,Automatic,Diesel,59490,Victoria,New
2024,Hyundai,IONIQ 5,SUV,"2,000",N/A,Reduction Gear,Electric,58990,Western Australia,Demo
2024,Volkswagen,Amarok,Ute,6,3.0L,Automatic,Diesel,73490,Victoria,New
2023,LDV,D90,SUV,"10,486",2.0L,Sports Automatic,Diesel,41490,Western Australia,Demo
2024,Volkswagen,Amarok,Ute,14,3.0L,Automatic,Diesel,85990,Victoria,New
2025,Mazda,CX-30,SUV,N/A,2.5L,Sports Automatic,Petrol,43260,N/A,Available to order
2024,MG,MG3,Hatchback,10,1.5L,Automatic,Hybrid,28777,Western Australia,New
2017,Holden,Ute,Ute,"60,506",3.6L,Sports Automatic,Petrol,35490,Queensland,Used
2024,smart,#1,Hatchback,"2,108",N/A,Automatic,Electric,69888,Victoria,Demo
2014,Ford,Ranger,Ute,"152,738",3.2L,Sports Automatic,Diesel,28990,Queensland,Used
2024,Volkswagen,Amarok,Ute,16,3.0L,Automatic,Diesel,73990,Victoria,New
2025,Mazda,CX-30,SUV,N/A,2.5L,Sports Automatic,Petrol,46460,N/A,Available to order
2024,GWM,Cannon Alpha,Ute,N/A,2.4L,Sports Automatic,Diesel,56585,Victoria,New
2023,Hyundai,Kona,SUV,"10,444",2.0L,Constantly Variable Transmission,Petrol,39243,Australian Capital Territory,Used
2024,Nissan,X-TRAIL,SUV,"14,796",2.5L,Constantly Variable Transmission,Petrol,35272,Western Australia,Used
2024,KGM,SsangYong Musso,Ute,20,2.2L,Sports Automatic,Diesel,43500,Queensland,New
2024,Volkswagen,T-Cross,SUV,"1,674",1.0L,Sports Automatic Dual Clutch,Petrol,34303,Western Australia,Demo
2025,Mazda,CX-30,SUV,N/A,2.0L,Sports Automatic,Petrol,39760,N/A,Available to order
2024,Suzuki,Jimny,SUV,24,1.5L,Manual,Petrol,42735,Victoria,New
2024,Nissan,X-TRAIL,SUV,"7,189",2.5L,Constantly Variable Transmission,Petrol,36985,Queensland,Used
2018,Peugeot,3008,SUV,"75,727",1.6L,Sports Automatic,Petrol,21218,Australian Capital Territory,Used
2014,Holden,Special Vehicles Clubsport,Sedan,"83,631",6.2L,Sports Automatic,Petrol,72184,Western Australia,Used
2014,Holden,Special Vehicles Clubsport,Sedan,"83,631",6.2L,Sports Automatic,Petrol,67777,Western Australia,Used
2025,Mazda,CX-30,SUV,N/A,2.0L,Sports Automatic,Petrol,44960,N/A,Available to order
2024,Mazda,BT-50,Ute,N/A,3.0L,Sports Automatic,Diesel,58505,New South Wales,New
2020,Ford,Ranger,Ute,"97,415",2.0L,Sports Automatic,Diesel,44888,Western Australia,Used
2019,Toyota,Landcruiser Prado,SUV,"77,292",2.8L,Sports Automatic,Diesel,64990,Queensland,Used
2024,GWM,Ute,Ute,25,2.0L,Sports Automatic,Diesel,36490,New South Wales,New
2017,Holden,Special Vehicles Clubsport,Sedan,"13,410",6.2L,Manual,Petrol,114990,Western Australia,Used
2025,Mazda,CX-30,SUV,N/A,2.0L,Sports Automatic,Petrol,34060,N/A,Available to order
2024,Volkswagen,T-Cross,SUV,12,1.0L,Sports Automatic Dual Clutch,Petrol,35990,Western Australia,Demo
